brand,mileage_band,age_band,mean,median,count,lower_estimate,upper_estimate
kia,50k-100k,13-20 years,2884.076923076923,2500.0,13,2125.0,2875.0
kia,50k-100k,4-7 years,12345.809523809523,9700.0,21,8245.0,11155.0
kia,50k-100k,8-12 years,5661.933333333333,3750.0,30,3187.5,4312.5
lancia,100k+,13-20 years,971.05,899.5,20,764.5749999999999,1034.425
land_rover,100k+,13-20 years,9241.6,3999.0,35,3399.15,4598.849999999999
land_rover,100k+,8-12 years,15466.92857142857,15249.5,14,12962.074999999999,17536.925
land_rover,20k-50k,4-7 years,48603.09090909091,43900.0,11,37315.0,50484.99999999999
mazda,100k+,13-20 years,2303.093117408907,1999.0,247,1699.1499999999999,2298.85
mazda,100k+,20+ years,1001.475,775.0,40,658.75,891.2499999999999
mazda,100k+,8-12 years,5949.8536585365855,5499.0,82,4674.15,6323.849999999999
mazda,20k-50k,4-7 years,15946.764705882353,14500.0,17,12325.0,16675.0
mazda,50k-100k,13-20 years,3840.125,4000.0,32,3400.0,4600.0
mazda,50k-100k,4-7 years,13280.0,13490.0,13,11466.5,15513.499999999998
mazda,50k-100k,8-12 years,8037.386363636364,8449.0,44,7181.65,9716.349999999999
mercedes_benz,0-20k,0-3 years,42899.944444444445,38700.0,18,32895.0,44505.0
mercedes_benz,0-20k,13-20 years,6531.727272727273,3000.0,11,2550.0,3449.9999999999995
mercedes_benz,0-20k,4-7 years,28861.2,26600.0,30,22610.0,30589.999999999996
mercedes_benz,100k+,13-20 years,4543.878283151826,3600.0,1561,3060.0,4140.0
mercedes_benz,100k+,20+ years,3068.733944954128,1850.0,436,1572.5,2127.5
mercedes_benz,100k+,4-7 years,20063.573170731706,17949.5,82,15257.074999999999,20641.925
mercedes_benz,100k+,8-12 years,12787.084858569051,11950.0,601,10157.5,13742.499999999998
mercedes_benz,20k-50k,13-20 years,10094.0,8999.0,21,7649.15,10348.849999999999
mercedes_benz,20k-50k,4-7 years,26674.486725663715,24600.0,113,20910.0,28289.999999999996
mercedes_benz,20k-50k,8-12 years,19048.725,16695.0,40,14190.75,19199.25
mercedes_benz,50k-100k,13-20 years,9764.195945945947,7350.0,148,6247.5,8452.5
mercedes_benz,50k-100k,20+ years,7489.083333333333,4800.0,24,4080.0,5520.0
mercedes_benz,50k-100k,4-7 years,26427.420289855072,24349.5,138,20697.075,28001.925
mercedes_benz,50k-100k,8-12 years,16896.86111111111,15324.5,180,13025.824999999999,17623.175
mini,0-20k,0-3 years,21791.384615384617,21750.0,13,18487.5,25012.499999999996
mini,0-20k,4-7 years,20397.071428571428,19950.0,14,16957.5,22942.5
mini,100k+,13-20 years,4942.357142857143,4800.0,70,4080.0,5520.0
mini,100k+,8-12 years,7902.119047619048,7824.5,42,6650.825,8998.175
mini,20k-50k,4-7 years,17332.238095238095,17883.5,42,15200.975,20566.024999999998
mini,20k-50k,8-12 years,11742.51724137931,12560.0,29,10676.0,14443.999999999998
mini,50k-100k,13-20 years,7468.0,7470.0,19,6349.5,8590.5
mini,50k-100k,4-7 years,16058.757575757576,16500.0,33,14025.0,18975.0
mini,50k-100k,8-12 years,10023.063157894738,9800.0,95,8330.0,11270.0
mitsubishi,100k+,13-20 years,1781.7971014492753,1225.0,138,1041.25,1408.75
mitsubishi,100k+,20+ years,1334.4594594594594,900.0,37,765.0,1035.0
mitsubishi,100k+,8-12 years,6282.636363636364,4500.0,33,3825.0,5175.0
mitsubishi,50k-100k,13-20 years,3640.4666666666667,3700.0,15,3145.0,4255.0
mitsubishi,50k-100k,8-12 years,8578.541666666666,5839.5,24,4963.575,6715.424999999999
nissan,100k+,13-20 years,2344.542857142857,1499.5,210,1274.575,1724.425
nissan,100k+,20+ years,1646.2686567164178,700.0,67,595.0,804.9999999999999
nissan,100k+,8-12 years,6306.647887323944,5000.0,71,4250.0,5750.0
nissan,20k-50k,4-7 years,13170.666666666666,13500.0,27,11475.0,15524.999999999998
nissan,20k-50k,8-12 years,10752.153846153846,5200.0,13,4420.0,5979.999999999999
nissan,50k-100k,13-20 years,3844.714285714286,2600.0,42,2210.0,2989.9999999999995
nissan,50k-100k,4-7 years,13081.833333333334,13475.0,36,11453.75,15496.249999999998
nissan,50k-100k,8-12 years,7789.304347826087,5845.0,46,4968.25,6721.749999999999
opel,0-20k,0-3 years,17083.766666666666,16772.5,30,14256.625,19288.375
opel,0-20k,13-20 years,1900.2857142857142,1400.0,28,1190.0,1609.9999999999998
opel,0-20k,20+ years,925.0,525.0,12,446.25,603.75
opel,0-20k,4-7 years,13932.64,11500.0,25,9775.0,13224.999999999998
opel,100k+,13-20 years,1822.2722862340813,1500.0,1649,1275.0,1724.9999999999998
opel,100k+,20+ years,794.6836734693877,699.0,490,594.15,803.8499999999999
opel,100k+,4-7 years,9415.173076923076,8925.0,52,7586.25,10263.75
opel,100k+,8-12 years,4998.677734375,4599.5,512,3909.575,5289.424999999999
opel,20k-50k,13-20 years,4909.466666666666,3700.0,15,3145.0,4255.0
opel,20k-50k,20+ years,3127.090909090909,1599.0,11,1359.1499999999999,1838.85
opel,20k-50k,4-7 years,11258.698924731183,10600.0,93,9010.0,12189.999999999998
opel,20k-50k,8-12 years,7652.971428571429,6800.0,35,5780.0,7819.999999999999
opel,50k-100k,13-20 years,2487.949720670391,2399.0,179,2039.1499999999999,2758.85
opel,50k-100k,20+ years,1214.5744680851064,1100.0,47,935.0,1265.0
opel,50k-100k,4-7 years,11579.555555555555,10420.0,90,8857.0,11982.999999999998
opel,50k-100k,8-12 years,6962.544186046512,6000.0,215,5100.0,6899.999999999999
peugeot,100k+,13-20 years,1822.3262548262549,1600.0,518,1360.0,1839.9999999999998
peugeot,100k+,20+ years,772.9411764705883,599.5,68,509.575,689.425
peugeot,100k+,4-7 years,8460.0,8225.0,14,6991.25,9458.75
peugeot,100k+,8-12 years,4425.648648648648,3999.5,148,3399.575,4599.424999999999
peugeot,20k-50k,4-7 years,12183.724137931034,11900.0,29,10115.0,13684.999999999998
peugeot,20k-50k,8-12 years,7366.533333333334,6800.0,15,5780.0,7819.999999999999
peugeot,50k-100k,13-20 years,3364.546875,3525.0,64,2996.25,4053.7499999999995
peugeot,50k-100k,4-7 years,9787.0,9800.0,21,8330.0,11270.0
peugeot,50k-100k,8-12 years,6037.960317460317,5474.5,126,4653.325,6295.674999999999
porsche,100k+,13-20 years,20606.24,15443.0,50,13126.55,17759.449999999997
porsche,100k+,20+ years,35092.380952380954,28000.0,21,23800.0,32199.999999999996
porsche,100k+,8-12 years,29923.521739130436,26500.0,23,22525.0,30474.999999999996
porsche,20k-50k,4-7 years,65166.333333333336,73200.0,12,62220.0,84180.0
porsche,50k-100k,13-20 years,29793.714285714286,23999.0,21,20399.149999999998,27598.85
porsche,50k-100k,8-12 years,41558.65,37000.0,40,31450.0,42550.0
renault,0-20k,13-20 years,1169.9,1099.5,10,934.5749999999999,1264.425
renault,0-20k,4-7 years,10644.91304347826,8999.0,23,7649.15,10348.849999999999
